vehicle_id,occupant_count,mean_anomaly_score_bits,median_anomaly_score_bits,maximum_anomaly_score_bits,std_anomaly_score_bits,minimum_anomaly_score_bits,baseline_occupants,moderate_occupants,elevated_occupants,high_occupants,extreme_occupants,anomalous_occupants,high_or_extreme_occupants,extreme_occupant_count,anomalous_occupant_fraction,high_or_extreme_fraction,maximum_anomaly_occupant_id,maximum_anomaly_dominant_contributor,maximum_anomaly_tier,vehicle_dominant_contributor,vehicle_anomaly_tier,vehicle_anomaly_score_bits,multi_occupant_anomaly,multiple_high_or_extreme,vehicle_anomaly_percentile
360247392.0,3,11.77080734789744,10.372397179358488,16.943229587339992,4.634256679009003,7.99679527699384,2,0,0,1,0,1,1,0,0.3333333333333333,0.3333333333333333,360247395.0,seat_performance,HIGH,belt_anchorage,HIGH,16.943229587339992,False,False,96.81960375391031
341206111.0,3,12.598304040585697,11.22379187342105,16.926656842940055,3.8307372774330544,9.644463405395989,2,0,0,1,0,1,1,0,0.3333333333333333,0.3333333333333333,341206112.0,seat_performance,HIGH,seat_performance,HIGH,16.926656842940055,False,False,96.76746611053181
651144873.0,1,16.914309102296922,16.914309102296922,16.914309102296922,0.0,16.914309102296922,0,0,0,1,0,1,1,0,1.0,1.0,651144875.0,belt_anchorage,HIGH,belt_anchorage,HIGH,16.914309102296922,False,False,96.71532846715328
791665335.0,1,16.906030889514554,16.906030889514554,16.906030889514554,0.0,16.906030889514554,0,0,0,1,0,1,1,0,1.0,1.0,791665336.0,seat_performance,HIGH,seat_performance,HIGH,16.906030889514554,False,False,96.66319082377477
341206107.0,2,13.547636778747764,13.547636778747764,16.814388406838297,4.619884457350022,10.28088515065723,1,0,0,1,0,1,1,0,0.5,0.5,341206109.0,posture,HIGH,seat_performance,HIGH,16.814388406838297,False,False,96.61105318039624
360255786.0,2,13.257631088009742,13.257631088009742,16.74735382947806,4.935213229906318,9.76790834654142,1,0,0,1,0,1,1,0,0.5,0.5,360255789.0,seat_type,HIGH,seat_type,HIGH,16.74735382947806,False,False,96.53284671532847
852130861.0,1,16.74735382947806,16.74735382947806,16.74735382947806,0.0,16.74735382947806,0,0,0,1,0,1,1,0,1.0,1.0,852130862.0,seat_type,HIGH,seat_type,HIGH,16.74735382947806,False,False,96.53284671532847
558030925.0,3,11.555722887295564,10.713582476081957,16.747001566006432,4.8256387381385135,7.2065846197983054,2,0,0,1,0,1,1,0,0.3333333333333333,0.3333333333333333,558031718.0,seat_position,HIGH,belt_anchorage,HIGH,16.747001566006432,False,False,96.4546402502607
558043025.0,1,16.711813531142795,16.711813531142795,16.711813531142795,0.0,16.711813531142795,0,0,0,1,0,1,1,0,1.0,1.0,558043027.0,seat_type,HIGH,seat_type,HIGH,16.711813531142795,False,False,96.40250260688217
599002685.0,2,13.928069633678875,13.928069633678875,16.6967176672243,3.915459598477537,11.159421600133452,1,0,0,1,0,1,1,0,0.5,0.5,599002687.0,posture,HIGH,seat_type,HIGH,16.6967176672243,False,False,96.35036496350365
