vehicle_id,occupant_id,seat_location_id,seat_position,occupant_role,seat_track_position,posture,seat_type,seat_performance,belt_availability,belt_use,belt_failure,belt_anchorage,total_surprisal_bits,total_backoff_level,seat_position_surprisal_bits,occupant_role_surprisal_bits,seat_track_position_surprisal_bits,seat_type_surprisal_bits,posture_surprisal_bits,belt_use_surprisal_bits,belt_anchorage_surprisal_bits,belt_failure_surprisal_bits,belt_availability_surprisal_bits,seat_performance_surprisal_bits,anomaly_score_bits,anomaly_percentile,anomaly_tier,dominant_contributor,dominant_contribution_bits,dominant_contribution_percent,occupant_state_vector
134005302.0,134007673.0,897001231.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,NORMAL POSTURE,BUCKET,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,10.768987924425556,0,0.672794206367598,-0.0,1.8171717804178111,0.2962999526953211,0.21373406051926952,0.34407966234536597,1.4241731740239048,0.016927121558869277,-0.0,5.983807966497414,10.768987924425556,65.625,BASELINE,seat_performance,5.983807966497414,55.56518410541913,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN MIDDLE AND REAR|NORMAL POSTURE|BUCKET|UNKNOWN/UNMAPPED|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
134005302.0,897001210.0,897001232.0,FRONT RIGHT SIDE,PASSENGER,SEAT BETWEEN MIDDLE AND REAR,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,6.769994287479846,0,2.2509993409134457,-0.0,1.598509032559104,0.2767093427308704,0.28128611039001644,0.25153876699596445,1.4241731740239048,0.016927121558869277,-0.0,0.6698513983076693,6.769994287479846,14.594240837696335,BASELINE,seat_position,2.2509993409134457,33.24964904440692,FRONT RIGHT SIDE|PASSENGER|SEAT BETWEEN MIDDLE AND REAR|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
134005305.0,134007674.0,897001089.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN FORWARD AND MIDDLE,NORMAL POSTURE,BOX MOUNTED,DEFORMED BY INTRUSION,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,12.734533607642879,0,0.672794206367598,-0.0,2.6425397762979714,5.092169843927867,0.36257007938470825,-0.0,2.3625700793847084,0.016927121558869277,-0.0,1.5849625007211563,12.734533607642879,82.57526178010471,MODERATE,seat_type,5.092169843927867,39.987093370044605,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN FORWARD AND MIDDLE|NORMAL POSTURE|BOX MOUNTED|DEFORMED BY INTRUSION|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
134005308.0,134007675.0,897001407.0,FRONT LEFT SIDE,DRIVER,SEAT AT MIDDLE TRACK POSITION,NORMAL POSTURE,BOX MOUNTED,DEFORMED BY OCCUPANT,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,MID POSITION,12.686278439035656,0,0.672794206367598,-0.0,2.1835354329609653,4.5511741872648726,0.5849625007211563,0.16992500144231243,1.921997487998727,0.016927121558869277,-0.0,2.584962500721156,12.686278439035656,82.13350785340315,MODERATE,seat_type,4.5511741872648726,35.87477769099658,FRONT LEFT SIDE|DRIVER|SEAT AT MIDDLE TRACK POSITION|NORMAL POSTURE|BOX MOUNTED|DEFORMED BY OCCUPANT|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|MID POSITION
134005311.0,134007676.0,897001478.0,FRONT LEFT SIDE,DRIVER,SEAT AT MIDDLE TRACK POSITION,NORMAL POSTURE,BOX MOUNTED,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,9.804922935534275,0,0.672794206367598,-0.0,2.1835354329609653,4.5511741872648726,0.5849625007211563,0.16992500144231243,1.040641984497346,0.016927121558869277,-0.0,0.5849625007211563,9.804922935534275,54.82657068062827,BASELINE,seat_type,4.5511741872648726,46.41723568036261,FRONT LEFT SIDE|DRIVER|SEAT AT MIDDLE TRACK POSITION|NORMAL POSTURE|BOX MOUNTED|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL DOWN
134005311.0,897001468.0,897001481.0,SECOND LEFT,PASSENGER,NOT ADJUSTABLE SEAT TRACK,NOT COLLECTED/UNKNOWN,BENCH WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,15.112272494413778,0,4.085575731706074,-0.0,0.0909736600474904,1.4466831258953092,3.3692338096657193,1.0962153152593033,4.54432051622381,0.016927121558869277,-0.0,0.46234321405720047,15.112272494413778,94.14267015706807,ELEVATED,belt_anchorage,4.54432051622381,30.070398200559247,SECOND LEFT|PASSENGER|NOT ADJUSTABLE SEAT TRACK|NOT COLLECTED/UNKNOWN|BENCH WITH FOLD BACK|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL DOWN
134005311.0,897001469.0,897001480.0,SECOND MIDDLE,PASSENGER,NOT ADJUSTABLE SEAT TRACK,OTHER ABNORMAL POSTURE,BENCH WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER WITH CHILD SEAT,NO FAILURE,FULL DOWN,15.051276136311108,0,5.719447832908177,-0.0,0.05062607306996795,1.415037499278844,0.8073549220576042,1.5849625007211563,5.0,0.08152988549659837,-0.0,0.39231742277876036,15.051276136311108,93.97905759162303,ELEVATED,seat_position,5.719447832908177,37.9997535166473,SECOND MIDDLE|PASSENGER|NOT ADJUSTABLE SEAT TRACK|OTHER ABNORMAL POSTURE|BENCH WITH FOLD BACK|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER WITH CHILD SEAT|NO FAILURE|FULL DOWN
134005311.0,897001470.0,897001482.0,THIRD LEFT,PASSENGER,NOT ADJUSTABLE SEAT TRACK,NOT COLLECTED/UNKNOWN,BENCH WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,12.401710871652222,0,7.67053823242723,-0.0,-0.0,0.9068905956085186,2.0,1.0,0.1292830169449665,0.016927121558869277,-0.0,0.6780719051126377,12.401710871652222,79.84293193717278,MODERATE,seat_position,7.67053823242723,61.850645542467156,THIRD LEFT|PASSENGER|NOT ADJUSTABLE SEAT TRACK|NOT COLLECTED/UNKNOWN|BENCH WITH FOLD BACK|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|NO UPPER ANCHOR
134005314.0,134007677.0,897001538.0,FRONT LEFT SIDE,DRIVER,SEAT AT MIDDLE TRACK POSITION,NORMAL POSTURE,BUCKET,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,9.650786746889704,0,0.672794206367598,-0.0,2.1835354329609653,0.31595772557084123,0.20546911829997946,0.3336791005797198,1.4241731740239048,0.016927121558869277,-0.0,4.498250867527825,9.650786746889704,53.38678010471204,BASELINE,seat_performance,4.498250867527825,46.6101985827999,FRONT LEFT SIDE|DRIVER|SEAT AT MIDDLE TRACK POSITION|NORMAL POSTURE|BUCKET|UNKNOWN/UNMAPPED|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
134005317.0,134007687.0,897001581.0,FRONT LEFT SIDE,DRIVER,SEAT AT MIDDLE TRACK POSITION,NORMAL POSTURE,BUCKET,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,9.75879393650807,0,0.672794206367598,-0.0,2.1835354329609653,0.31595772557084123,0.20546911829997946,0.3336791005797198,1.532180363642271,0.016927121558869277,-0.0,4.498250867527825,9.75879393650807,54.31937172774869,BASELINE,seat_performance,4.498250867527825,46.09433191021356,FRONT LEFT SIDE|DRIVER|SEAT AT MIDDLE TRACK POSITION|NORMAL POSTURE|BUCKET|UNKNOWN/UNMAPPED|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL DOWN
